S.N.|Candidate|Party|EVM Votes|Postal Votes|Total Votes|% of Votes|UT_OR_STATE|CONSTITUENCY
1.0|SATABDI ROY|All India Trinamool Congress|714972|2989|717961|47.0|West Bengal|Birbhum
2.0|DEBTANU BHATTACHARYA|Bharatiya Janata Party|517761|2550|520311|34.06|West Bengal|Birbhum
3.0|MILTON RASHID|Indian National Congress|225572|688|226260|14.81|West Bengal|Birbhum
4.0|AMIY GHOSH|Independent|11950|8|11958|0.78|West Bengal|Birbhum
5.0|LAKSHMI HEMBROM|Ambedkarite Party of India|7677|10|7687|0.5|West Bengal|Birbhum
6.0|AYESHA KHATUN|Socialist Unity Centre Of India (COMMUNIST)|6761|18|6779|0.44|West Bengal|Birbhum
7.0|RAJNATH SARKAR|Bahujan Samaj Party|5866|16|5882|0.39|West Bengal|Birbhum
8.0|SAURAV MUDI|Independent|4249|7|4256|0.28|West Bengal|Birbhum
9.0|ABDUL IMRAN|Independent|3823|9|3832|0.25|West Bengal|Birbhum
10.0|BISWAJIT MISHRA|All India Arya Mahasabha|3806|17|3823|0.25|West Bengal|Birbhum
11.0|MD. JAKIR HOSSAIN|Bharatiya National Janata Dal|2547|10|2557|0.17|West Bengal|Birbhum
12.0|DOLA SARKAR|Indian National Socialistic Action Forces|2027|6|2033|0.13|West Bengal|Birbhum
13.0|NOTA|None of the Above|14037|56|14093|0.92|West Bengal|Birbhum
|Total||1521048|6384|1527432||West Bengal|Birbhum
1.0|ASIT KUMAR MAL|All India Trinamool Congress|851209|4424|855633|55.98|West Bengal|Bolpur
2.0|PIYA SAHA|Bharatiya Janata Party|525463|2917|528380|34.57|West Bengal|Bolpur
3.0|SHYAMALI PRADHAN|Communist Party of India (Marxist)|98819|564|99383|6.5|West Bengal|Bolpur
4.0|ATUL CHANDRA BAURI|Independent|7811|18|7829|0.51|West Bengal|Bolpur
5.0|DR MANIK CHANDRA PRODHAN|Bahujan Samaj Party|7011|28|7039|0.46|West Bengal|Bolpur
6.0|SHANTA DAS|Mulnibasi Party of India|3633|7|3640|0.24|West Bengal|Bolpur
7.0|BIJOY DOLUI|Socialist Unity Centre Of India (COMMUNIST)|2774|18|2792|0.18|West Bengal|Bolpur
8.0|MANTU DHIBAR|Hindustan Shakti Sena|2048|4|2052|0.13|West Bengal|Bolpur
9.0|NOTA|None of the Above|21640|82|21722|1.42|West Bengal|Bolpur
|Total||1520408|8062|1528470||West Bengal|Bolpur
1.0|SHATRUGHAN PRASAD SINHA|All India Trinamool Congress|603105|2540|605645|46.53|West Bengal|Asansol
2.0|SURENDRAJEET SINGH AHLUWALIA|Bharatiya Janata Party|544077|2004|546081|41.96|West Bengal|Asansol
3.0|JAHANARA KHAN|Communist Party of India (Marxist)|105454|510|105964|8.14|West Bengal|Asansol
4.0|DIPIKA BAURI|Independent|10623|24|10647|0.82|West Bengal|Asansol
5.0|SUNNY KUMAR SAH|Bahujan Samaj Party|8546|29|8575|0.66|West Bengal|Asansol
6.0|SUJIT PAL|Independent|4749|11|4760|0.37|West Bengal|Asansol
7.0|AMARNATH CHOWDHURY|Socialist Unity Centre Of India (COMMUNIST)|4330|28|4358|0.33|West Bengal|Asansol
8.0|NOTA|None of the Above|15448|62|15510|1.19|West Bengal|Asansol
|Total||1296332|5208|1301540||West Bengal|Asansol
1.0|AZAD KIRTI JHA|All India Trinamool Congress|717069|3598|720667|47.99|West Bengal|Bardhaman-Durgapur
2.0|DILIP GHOSH|Bharatiya Janata Party|579609|3077|582686|38.8|West Bengal|Bardhaman-Durgapur
3.0|SUKRITI GHOSAL|Communist Party of India (Marxist)|152851|978|153829|10.24|West Bengal|Bardhaman-Durgapur
4.0|LUXMI NARAYAN KORA|Independent|7138|4|7142|0.48|West Bengal|Bardhaman-Durgapur
5.0|PRABHU NATH SAH|Bahujan Samaj Party|6822|34|6856|0.46|West Bengal|Bardhaman-Durgapur
6.0|TASBIRUL ISLAM|Socialist Unity Centre Of India (COMMUNIST)|3450|19|3469|0.23|West Bengal|Bardhaman-Durgapur
7.0|REENA LEONG|Independent|3100|11|3111|0.21|West Bengal|Bardhaman-Durgapur
8.0|MIR SAKIMUDDIN|The National Road Map Party of India|2413|5|2418|0.16|West Bengal|Bardhaman-Durgapur
9.0|NOTA|None of the Above|21532|63|21595|1.44|West Bengal|Bardhaman-Durgapur
|Total||1493984|7789|1501773||West Bengal|Bardhaman-Durgapur
1.0|DR. SHARMILA SARKAR|All India Trinamool Congress|717881|2421|720302|48.11|West Bengal|Bardhaman Purba
2.0|ASIM KUMAR SARKAR|Bharatiya Janata Party|557943|1787|559730|37.38|West Bengal|Bardhaman Purba
3.0|NIRAB KHAN|Communist Party of India (Marxist)|176358|541|176899|11.81|West Bengal|Bardhaman Purba
4.0|NIRMAL MAJHI|Socialist Unity Centre Of India (COMMUNIST)|10964|12|10976|0.73|West Bengal|Bardhaman Purba
5.0|MUKUL BISWAS|Bahujan Samaj Party|7610|21|7631|0.51|West Bengal|Bardhaman Purba
6.0|SHARMILA SARKAR|Independent|4875|18|4893|0.33|West Bengal|Bardhaman Purba
7.0|SAJAL KUMAR DE|Communist Party of India (Marxist-Leninist) (Liberation)|4163|19|4182|0.28|West Bengal|Bardhaman Purba
8.0|NOTA|None of the Above|12654|43|12697|0.85|West Bengal|Bardhaman Purba
|Total||1492448|4862|1497310||West Bengal|Bardhaman Purba
1.0|KHAN SAUMITRA|Bharatiya Janata Party|677320|2810|680130|44.93|West Bengal|Bishnupur
2.0|SUJATA MONDAL|All India Trinamool Congress|671148|3415|674563|44.56|West Bengal|Bishnupur
3.0|SITAL CHANDRA KAIBARTYA|Communist Party of India (Marxist)|104895|516|105411|6.96|West Bengal|Bishnupur
